index,language_key,language_sample,language_production,name,body,face,select_index,bg,next_index,appear_production,appear_production_time,appear_production_value,auto_next,my_name,gallery,bgm,bgm_fade_time,sfx,sfx_type,cg_production,ending
1,story_1,“...하아...하아...”,,2,,,,2,2,,,,FALSE,FALSE,,Moss Gate,,Forest_5,-1,CG_Fly_Yellow,
2,story_2,이 주변은 이미 전부 털었다.,,,,,,2,3,,,,FALSE,FALSE,,Moss Gate,,Forest_5,-1,CG_Fly_Yellow,
3,story_3,“남은 곳은... 없는 건가...”,,2,,,,2,4,10,3,2,FALSE,FALSE,,Moss Gate,,Forest_5,-1,CG_Fly_Yellow,
4,story_4,숨이 점점 가빠진다.,,,,,,2,5,10,3,2,FALSE,FALSE,,Moss Gate,,Forest_5,-1,CG_Fly_Yellow,
5,story_5,"몸이 무거워지기 시작하고, 한계가 가까워지고 있다.",,,,,,2,6,10,3,2,FALSE,FALSE,,Moss Gate,,Forest_5,-1,CG_Fly_Yellow,
6,story_6,이를 악물고 풀숲을 헤치며 나는 더 깊숙이 들어갔다.,,,,,,2,7,10,3,2,FALSE,FALSE,,Moss Gate,,Forest_5,-1,CG_Fly_Yellow,
7,story_7,"그때, 작은 신당 하나가 눈에 들어왔다.",,,,,,2,9,10,3,2,FALSE,FALSE,,Moss Gate,,Forest_5,-1,CG_Fly_Yellow,
9,story_9,“...여긴...?”,,2,,,,2,10,10,3,2.5,FALSE,FALSE,,Moss Gate,,Forest_5,-1,CG_Fly_Yellow,
10,story_10,“분명 이 근처는 전부 확인했을 텐데...”,,2,,,,2,11,10,3,2.5,FALSE,FALSE,,Moss Gate,,Forest_5,-1,CG_Fly_Yellow,
11,story_11,“이렇게 작은 곳이... 남아 있었네.”,,2,,,,2,12,10,3,2.5,FALSE,FALSE,,Moss Gate,,Forest_5,-1,CG_Fly_Yellow,
12,story_12,망설일 시간은 없었다.,,,,,,2,13,10,3,2.5,FALSE,FALSE,,Moss Gate,,Forest_5,-1,CG_Fly_Yellow,
13,story_13,나는 고민 없이 문을 벌컥 열고 안으로 들어갔다.,,,,,,2,14,10,3,3,FALSE,FALSE,,Moss Gate,,,,CG_Fly_Yellow,
14,story_14,“...있다.”,,2,,,,2,15,10,3,3,FALSE,FALSE,,Moss Gate,,,,CG_Fly_Yellow,
15,story_15,"작지만,",,,,,,2,16,10,3,3,FALSE,FALSE,,Moss Gate,,,,CG_Fly_Yellow,
16,story_16,선명하게 빛나는 성물 하나.,,,,,,2,17,10,3,3,FALSE,FALSE,,Moss Gate,,,,CG_Fly_Yellow,
17,story_17,나는 곧장 그것을 집어 들었다.,,,,,,2,18,10,3,3,FALSE,FALSE,,Moss Gate,,,,CG_Fly_Yellow,
18,story_18,“후...”,,2,,,,2,19,10,3,2.5,FALSE,FALSE,,Moss Gate,,,,CG_Fly_Yellow,
19,story_19,"손에 닿는 순간 무겁게 짓눌렀던 몸이,",,,,,,2,20,10,3,2.5,FALSE,FALSE,,Moss Gate,,,,CG_Fly_Yellow,
20,story_20,거짓말처럼 가벼워졌다.,,,,,,2,21,10,3,2.5,FALSE,FALSE,,Moss Gate,,,,CG_Fly_Yellow,
21,story_21,“ 다행이다...”,,2,,,,2,22,10,3,2.5,FALSE,FALSE,,Moss Gate,,,,CG_Fly_Yellow,
22,story_22,"원래라면 안전한 곳으로 가져갔겠지만,",,,,,,2,23,10,3,2,FALSE,FALSE,,Moss Gate,,,,CG_Fly_Yellow,
23,story_23,지금은 그럴 여유가 없었다.,,,,,,2,24,10,3,2,FALSE,FALSE,,Moss Gate,,,,CG_Fly_Yellow,
24,story_24,당장 흡수하지 않으면 버티지 못한다.,,,,,,2,25,10,3,2,FALSE,FALSE,,Moss Gate,,,,CG_Fly_Yellow,
25,story_25,"나는 성물을 꽉 쥔 채, 눈을 감았다.",,,,,,2,26,10,3,1.5,FALSE,FALSE,,Moss Gate,,,,CG_Fly_Yellow,
26,story_26,따뜻한 빛이 몸을 감싸는 게 느껴졌다.,,,,,,2,27,10,3,1.5,FALSE,FALSE,,Moss Gate,,,,CG_Fly_Yellow,
27,story_27,“...후우...이제 좀... 괜찮...”,,2,,,,2,28,10,3,1,FALSE,FALSE,,Moss Gate,,,,CG_Fly_Yellow,
28,story_28,"그때, 갑자기 뒤에서 바스락거리는 소리가 들렸다.",,,,,,2,29,,,,FALSE,FALSE,,Moss Gate,,Leaves,1,CG_Fly_Yellow,
29,story_29,"“...거기, 누군가 있니?”",,1,,,,2,30,,,,FALSE,FALSE,,Moss Gate,,,,CG_Fly_Yellow,
30,story_30,“.....!”,,2,,,,2,31,23,1,5,FALSE,FALSE,,Moss Gate,,,,CG_Fly_Yellow,
31,story_31,도망치려 몸을 움직이려는 순간—,,,,,,2,32,,,,FALSE,FALSE,,Moss Gate,,,,CG_Fly_Yellow,
32,story_32,"내 손에 있던 성물이, 보이지 않는 힘에 이끌려 날아갔다.",,,,,,2,33,,,,FALSE,FALSE,,Moss Gate,,,,CG_Fly_Yellow,
33,story_33,“...안돼....!”,,2,,,,2,34,23,1,5,FALSE,FALSE,,Moss Gate,,,,CG_Fly_Yellow,
34,story_34,"아름다운 한 남자의 손에, 성물이 되돌아가 있었다.",,,Character_Main_0,Character_Main_0_1,,2,35,,,,FALSE,FALSE,,Moss Gate,,,,CG_Fly_Yellow,
35,story_35,"“...그거, 내 거라서.”",,1,Character_Main_0,Character_Main_0_1,,2,36,,,,FALSE,FALSE,,Moss Gate,,,,CG_Fly_Yellow,
36,story_36,남자는 당황한 표정조차 없었다.,,,Character_Main_0,Character_Main_0_1,,2,37,,,,FALSE,FALSE,,Moss Gate,,,,CG_Fly_Yellow,
37,story_37,그저 온화한 미소만 지을 뿐.,,,Character_Main_0,Character_Main_0_1,,2,38,,,,FALSE,FALSE,,Moss Gate,,,,CG_Fly_Yellow,
38,story_38,"작은 성물이 자신의 것이라고 말하는 이 남자를,",,,Character_Main_0,Character_Main_0_1,,2,39,,,,FALSE,FALSE,,Moss Gate,,,,CG_Fly_Yellow,
